Event, tp, ts, user, db, p, data
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082630
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082631
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082632
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082633
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082634
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082635
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082636
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082637
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082750
insert, tp = 5159813, ts = 1304465674, u = script, db = db2, p = 174, d = 501082751

